 Код_автора,ФИО,День_рождения
1, Александр Беляев,1884.03.16
2, Александр Блок,1880.11.28
3, Александр Грибоедов,1795.01.15
4, Александр Грин,1880.08.23
5, Александр Дюма,1802.07.24
6, Александр Куприн,1870.09.07
7, Александр Островский,1823.04.12
8, Александр Пушкин,1799.06.06
9, Алексей Толстой,1883.01.10
10, Андрей Вознесенский,1933.05.12
11, Анна Ахматова,1889.06.23
12, Антон Чехов,1860.01.29
13, Антуан де Сент-Экзюпери,1900.06.29
14, Арсений Тарковский,1907.06.25
15, Артур Конан Дойл,1859.05.22
16, Афанасий Фет,1820.05.12
17, Борис Васильев,1924.05.21
18, Борис Пастернак,1890.02.10
19, Валентин Катаев,1897.01.28
20, Вениамин Каверин,1902.04.19
21, Владимир Высоцкий,1938.01.25
22, Владимир Гиляровский,1855.12.08
23, Владимир Маяковский,1893.07.19
24, Владимир Обручев,1863.09.28
25, Габриэль Гарсиа Маркес,1927.03.06
26, Даниель Дефо,1660.09.13
27, Джек Лондон,1876.01.12
28, Джордж Оруэлл,1903.06.25
29, Иван Бунин,1870.10.22
30, Иван Гончаров,1812.06.18
31, Иван Крылов,1769.02.13
32, Иван Тургенев,1818.11.09
33, Иоганн Вольфганг фон Гёте,1749.08.28
34, Кен Кизи,1935.09.17
35, Лев Толстой,1828.09.09
36, Марина Цветаева,1892.10.08
37, Михаил Булгаков,1891.05.15
38, Николай Гоголь,1809.04.01
39, Николай Некрасов,1821.12.10
40, Николай Чернышевский,1828.07.24
41, Осип Мандельштам,1891.01.15
42, Роберт Льюис Стивенсон,1850.11.13
43, Рэй Брэдбери,1920.08.22
44, Сергей Есенин,1895.10.03
45, Станислав Лем,1921.09.12
46, Уильям Шекспир,1594.04.26
47, Федор Достоевский,1821.11.11
48, Федор Тютчев,1803.12.05
49, Эрих Мария Ремарк,1898.06.22
50, Эрнест Хемингуэй,1899.07.21
51, Ярослав Гашек,1883.04.30
52,Виктор Гюго,1802.02.26
53,Михаил Булгаков,1891.05.15
54,Михаил Лермонтов,1814.10.15
55,Михаил Шолохов,1905.05.24
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
1,Александр Беляев,1884.03.16
2,Александр Блок,1880.11.28
3,Александр Грибоедов,1795.01.15
4,Александр Грин,1880.08.23
5,Александр Дюма,1802.07.24
6,Александр Куприн,1870.09.07
7,Александр Островский,1823.04.12
8,Александр Пушкин,1799.06.06
9,Алексей Толстой,1883.01.10
10,Андрей Вознесенский,1933.05.12
11,Анна Ахматова,1889.06.23
12,Антон Чехов,1860.01.29
13,Антуан де Сент-Экзюпери,1900.06.29
14,Арсений Тарковский,1907.06.25
15,Артур Конан Дойл,1859.05.22
16,Афанасий Фет,1820.05.12
17,Борис Васильев,1924.05.21
18,Борис Пастернак,1890.02.10
19,Валентин Катаев,1897.01.28
20,Вениамин Каверин,1902.04.19
21,Владимир Высоцкий,1938.01.25
22,Владимир Гиляровский,1855.12.08
23,Владимир Маяковский,1893.07.19
24,Владимир Обручев,1863.09.28
25,Габриэль Гарсиа Маркес,1927.03.06
26,Даниель Дефо,1660.09.13
27,Джек Лондон,1876.01.12
28,Джордж Оруэлл,1903.06.25
29,Иван Бунин,1870.10.22
30,Иван Гончаров,1812.06.18
31,Иван Крылов,1769.02.13
32,Иван Тургенев,1818.11.09
33,Иоганн Вольфганг фон Гёте,1749.08.28
34,Кен Кизи,1935.09.17
35,Лев Толстой,1828.09.09
36,Марина Цветаева,1892.10.08
37,Михаил Булгаков,1891.05.15
38,Николай Гоголь,1809.04.01
39,Николай Некрасов,1821.12.10
40,Николай Чернышевский,1828.07.24
41,Осип Мандельштам,1891.01.15
42,Роберт Льюис Стивенсон,1850.11.13
43,Рэй Брэдбери,1920.08.22
44,Сергей Есенин,1895.10.03
45,Станислав Лем,1921.09.12
46,Уильям Шекспир,1594.04.26
47,Федор Достоевский,1821.11.11
48,Федор Тютчев,1803.12.05
49,Эрих Мария Ремарк,1898.06.22
50,Эрнест Хемингуэй,1899.07.21
51,Ярослав Гашек,1883.04.30
52,Виктор Гюго,1802.02.26
53,Михаил Булгаков,1891.05.15
54,Михаил Лермонтов,1814.10.15
55,Михаил Шолохов,1905.05.24
